OBJECTID,ELEVATION,TRAVEL,LON,LAT
270.00000,491.75345,105.12000,-79.2198944,35.4435720
271.00000,478.51421,107.59000,-79.2216317,35.4435077
272.00000,491.30470,105.12000,-79.2200716,35.4425884
273.00000,490.47813,105.12000,-79.2205165,35.4429742
274.00000,482.29176,108.25000,-79.2197312,35.4446865
275.00000,476.71224,56.18000,-79.2188755,35.4449801
276.00000,483.83699,57.49000,-79.2194203,35.4444145
277.00000,495.38228,58.58000,-79.2184853,35.4382427
278.00000,487.82511,58.58000,-79.2194178,35.4380591
279.00000,488.52906,58.58000,-79.2186065,35.4396470
280.00000,487.04694,59.61000,-79.2201851,35.4372987
281.00000,486.63761,59.61000,-79.2197728,35.4367532
282.00000,469.23857,57.33000,-79.2322946,35.4395953
283.00000,508.91766,57.36000,-79.2247688,35.4359346
284.00000,501.96841,59.22000,-79.2223379,35.4362189
285.00000,476.14866,58.30000,-79.2328088,35.4353434
286.00000,480.12239,63.04000,-79.2263715,35.4223838
287.00000,463.29846,88.03000,-79.2291441,35.4167987
288.00000,471.29030,96.37000,-79.2313678,35.4117283
289.00000,473.93244,64.43000,-79.2318969,35.4083763
290.00000,476.36719,70.50000,-79.2318261,35.4069248
291.00000,469.28881,75.82000,-79.2303322,35.4128403
292.00000,464.55064,62.50000,-79.2285474,35.4168196
293.00000,460.57987,88.67000,-79.2275075,35.4191454
294.00000,484.88120,62.71000,-79.2244499,35.4246282
295.00000,483.20499,68.28000,-79.2233215,35.4266782
296.00000,492.21808,66.46000,-79.2213137,35.4276872
297.00000,487.46820,66.46000,-79.2221169,35.4287078
298.00000,490.53781,66.49000,-79.2210551,35.4307125
299.00000,499.12176,57.46000,-79.2199500,35.4334282
300.00000,500.48466,94.80000,-79.2185348,35.4346080
301.00000,497.41175,75.70000,-79.2166941,35.4364972
302.00000,495.95997,57.34000,-79.2170280,35.4373560
303.00000,490.12227,44.19000,-79.2153903,35.4367992
304.00000,496.08722,90.42000,-79.2179551,35.4359358
305.00000,498.36890,69.35000,-79.2180719,35.4329459
306.00000,507.24454,82.15000,-79.2174022,35.4341358
307.00000,489.49196,90.89000,-79.2127964,35.4331222
308.00000,460.99425,75.82000,-79.2130412,35.4311967
309.00000,446.95516,90.62000,-79.2127017,35.4290774
310.00000,419.81417,86.43000,-79.2100061,35.4297558
311.00000,457.45087,82.65000,-79.2107346,35.4319937
312.00000,461.08643,82.65000,-79.2101898,35.4331693
313.00000,503.59737,90.76000,-79.2155459,35.4337764
314.00000,495.49325,70.69000,-79.2165596,35.4325175
315.00000,484.61827,73.33000,-79.2186012,35.4313239
316.00000,480.22973,90.92000,-79.2179913,35.4303347
317.00000,467.21587,90.62000,-79.2156668,35.4292291
318.00000,480.91629,90.62000,-79.2152611,35.4303906
319.00000,487.02783,70.65000,-79.2150652,35.4321243
320.00000,486.34456,71.01000,-79.2157485,35.4314395
321.00000,499.19788,58.58000,-79.2172740,35.4390954
322.00000,467.14592,77.47000,-79.2114879,35.4433378
323.00000,470.96106,72.43000,-79.2098078,35.4469939
324.00000,488.22448,75.18000,-79.2141250,35.4451150
325.00000,485.77525,72.43000,-79.2129701,35.4465384
326.00000,382.99776,46.03000,-79.2172491,35.4696691
327.00000,396.38404,61.62000,-79.2194887,35.4706967
328.00000,401.12056,34.91000,-79.2211698,35.4711054
329.00000,409.33829,39.78000,-79.2205681,35.4721412
330.00000,395.98171,36.19000,-79.2181935,35.4736490
331.00000,391.73844,37.83000,-79.2167400,35.4740900
332.00000,357.53627,48.00000,-79.2077109,35.4795188
333.00000,372.71634,44.23000,-79.2111120,35.4758806
334.00000,361.11192,44.23000,-79.2118602,35.4771442
335.00000,344.81483,68.32000,-79.2123476,35.4780583
336.00000,370.40577,37.83000,-79.2155507,35.4755008
337.00000,380.70485,37.82000,-79.2168100,35.4762743
338.00000,378.27699,37.82000,-79.2185675,35.4764800
339.00000,358.09814,39.03000,-79.2184334,35.4777667
340.00000,390.01259,39.08000,-79.2206176,35.4782432
341.00000,385.20461,40.22000,-79.2205419,35.4797950
342.00000,377.75130,40.04000,-79.2192560,35.4789425
343.00000,382.89157,40.22000,-79.2190723,35.4796410
344.00000,341.67891,62.26000,-79.2168958,35.4793456
345.00000,349.63881,62.26000,-79.2179580,35.4787183
346.00000,394.15587,37.82000,-79.2212338,35.4764429
347.00000,371.36099,37.78000,-79.2236631,35.4763788
